Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
2020-08-01,300,301513.8192237445,335913.3921228331,57388.643156747225,2121.7688706898816,696937.6599105628
2020-08-02,300,291714.41451605904,313517.48318467883,53770.970963812935,1956.9121413760715,660959.7716160147
2020-08-03,300,322125.5545768229,343293.31354166666,57737.59647908529,2007.7336307907105,725164.205223715
2020-08-04,300,313804.9773969184,327759.1483951823,55201.36399441189,1951.8776298819648,698717.3667153674
2020-08-05,300,294962.7522287326,313140.4905284288,53329.19528374566,1918.7175576443142,663351.1785176804
2020-08-06,300,297011.2186950322,297835.32401735155,52130.86001974466,1817.2934869099236,648794.7319617901
2020-08-07,300,307630.9693507161,301720.5023775233,51423.76071415164,1738.6249926894907,662513.8594869745
2020-08-08,300,304645.09280273045,290582.0858869529,50021.789785326226,1728.5705951774287,646977.542206323
2020-08-09,300,305556.9773431413,287725.05614446,49738.189664569254,1806.0437917097606,644826.2977195127
2020-08-10,300,331987.7016721684,318443.0718421461,55168.82353458633,1911.1599340972464,707511.0078591368
2020-08-11,300,318784.6089455767,320516.4547728204,54924.41671360528,1939.1722572413505,696164.6678173828
2020-08-12,300,330399.29425672744,338369.61826063367,57806.28696261936,1928.9764917500813,728504.1914750878
2020-08-13,300,348641.7601582,365363.5927231521,66238.35292743018,1997.1043591988923,782240.8555922727
2020-08-14,300,387258.55819335935,393128.41447157116,69911.2117952474,2125.6770160886977,852423.8715861002
2020-08-15,300,381114.9796590521,394921.06213263626,70568.77185510492,2194.250345378485,848799.0519230216
2020-08-16,300,377745.71622070315,374378.52910264756,66984.1529945204,2170.896384963989,821279.2984909397
2020-08-17,300,394889.52017252607,401890.02312934026,72007.49361735026,2381.1820195388796,871168.2107108727
2020-08-18,300,404682.0289984809,420232.1367762587,75550.85405517578,2423.438836479187,902888.4806548336
2020-08-19,300,384390.4512401103,426837.05512688373,75110.31156508382,2355.9960975551426,888693.8073525261
2020-08-20,300,344235.5511545139,415705.494702691,73781.4370171441,2258.5942875798546,835981.0884526292
2020-08-21,300,344289.5682969776,407271.6541037537,74379.38235251105,2185.749490849811,828126.3578880668
2020-08-22,300,336553.1360177951,387099.6681770833,74293.4788522678,2245.061052652995,800191.3503632557
2020-08-23,300,318063.56236775714,375669.0191967774,73254.64601152208,2190.2523402375646,769177.4765748016
2020-08-24,300,354962.3841105277,396576.82708798157,75947.10753598186,2213.479720357073,829699.7652660664
2020-08-25,300,345483.4056829169,385175.5210166206,71339.01197183703,2215.086495231961,804213.0320857757
2020-08-26,300,330224.5336017974,381751.6414105433,69251.17480071216,2088.7065916533234,783316.0521554439
2020-08-27,300,315364.3978588093,380051.13516630966,70099.49265570924,1985.069688300569,767500.095663621
2020-08-28,300,318814.8249009032,354691.6883496747,65742.04694335071,1913.3048892524166,741161.8667437606
2020-08-29,300,303188.2489104905,306149.78931164637,55756.44784310939,1816.089052993656,666910.594641927
2020-08-30,300,289244.6426231603,284421.8949609679,52251.50806003879,1692.446329252922,627610.4950650008
2020-08-31,300,313853.28562272823,313654.7032253391,57101.04913330379,1832.8192969168722,686441.8674902344
2020-09-01,300,307156.6309527063,313517.91484900314,57793.66080503457,1920.9957931714837,680389.2522565684
2020-09-02,300,301412.309406467,322795.16630208335,57611.53303493924,1830.1652262030707,683649.2001627979
2020-09-03,300,300575.5732685265,343460.13865811465,62093.508668667855,1926.1994304090808,708055.4257039697
2020-09-04,300,309649.23955959146,369702.37396733556,67678.3791085389,1979.3575124263407,749009.3753378987
2020-09-05,300,330907.20776888804,397306.6245466729,75882.51534465558,2017.7251788979206,806114.0521959093
2020-09-06,300,353606.3285853666,416367.1814479105,80187.13261261181,2023.724649494241,852184.3718956163
2020-09-07,300,370462.4969856771,361199.3730967882,67647.10937282986,1771.4031606631809,801080.3711529708
2020-09-08,300,332086.2094541708,335918.1046011634,65200.327480217355,1403.8890629001905,734608.499033606
2020-09-09,300,307272.8733256763,317908.1548581422,62139.90813375363,1260.001476101522,688580.95413954
2020-09-10,300,288272.49315160315,298592.88251744985,59575.74209474766,1284.9896792780016,647726.1031759983
2020-09-11,300,284085.71614584886,297895.0302618111,58144.32996233875,1279.2727461954682,641404.3698810162
2020-09-12,300,283309.1330186632,276178.5061328125,54980.320444335935,1395.0278967836168,615862.9869163829
2020-09-13,300,267363.789586449,274343.36657478375,54225.64464350561,1486.1995623032017,597418.9999506904
2020-09-14,300,288603.874436849,318366.08827256947,60934.067346055774,1651.7984921858047,669555.8269016959
2020-09-15,300,289117.29263220384,325690.53987539094,63125.62347588859,1667.1118041510133,679600.5807676004
2020-09-16,300,296842.23836390383,330625.7983848241,64510.665951574585,1640.8090765770391,693619.5122097186
2020-09-17,300,297634.8683027247,332674.82092961,66726.98227998872,1657.4734402969325,698694.171759142
2020-09-18,300,289572.3636762153,349629.4421397569,69149.84447224934,1563.0566948021783,709914.7060118272
2020-09-19,300,271140.9009045292,318681.5324864671,62077.48783209515,1619.4097981083498,653519.320750583
